PROM_NUMBER,WORO_SERO_ID,PRIORITY,VENDOR,EQUP_INDEX,DEGRADED_KPI,KPI_VALUE,THRESHOLD,EQUP_EQUT_ABBREVIATION,INITIAL_ALARM,TT_CREATED,WORO_WORG_NAME,DURATION_HOUR,WORO_STAS_ABBREVIATION,ROOTCAUSE,CITY,REGION,PROVINCE,ALARM_COUNT,REPORTED,PROS_DESCRIPTION,MTTA_5_8,MTTR_5_8,DW_H
13133736,NF_21052022000072985,MAJOR,HUAWEI,ORUMIYEH_R442H | AG1967,VS.RscGroup.FlowCtrol.DL.DropNum(Huawei_NodeB),123482,"IsGreaterThan 50000    ",NODEB,16-May-2022 00:00:00,"May 21, 2022 1:40 PM",CTO_NAK_HUAWEI_TRANS,2878.01,INPROGRESS,LINK QUALITY(TRS),,WEST_R,AZARGHARBI_P,5,"Sep 6, 2022 2:37 AM",INITIAL DIAGNOSIS,3.66,,Daily_Weekly
13135583,NF_21052022000076228,EMERGENCY,NOKIA,B5510N,SDCCH_Congestion_Rate(Nokia_BSC),19.075,"IsGreaterThanOrEqual 10    ","BSC ",20-May-2022 18:00:00,"May 21, 2022 2:45 PM",NAK_BO_RANN,2876.93,ASSIGNED,,,NORTHEAST_R,KHORASNRAZAVI_P,6,"Aug 22, 2022 7:08 PM",INITIAL DIAGNOSIS,,,Daily_Weekly
13140057,NF_14062022000049714,MAJOR,NSN,R515N | KH2U0019,HS-DSCH_CREDIT_REDUCTIONS_DUE_TO_FRAME_LOSS(WBTS),69194,"IsGreaterThan 40000    ",NODEB,19-May-2022 00:00:00,"May 22, 2022 2:20 AM",CTO_NAK_NOKIA_TRANS,2671.05,CLOSED,TRANSMISSION - THIRD PARTY - HW FAULT,,NORTHEAST_R,KHORASNRAZAVI_P,2,"Sep 6, 2022 2:38 AM",Confirmed,0.27,538.36,Daily_Weekly
13136739,NF_21052022000076704,EMERGENCY,ERICSSON,B069E,2G_Voice_Call_Drop_Rate_Old(Eric_BSC),16.667,"IsGreaterThanOrEqual 10    ","BSC ",20-May-2022 08:00:00,"May 21, 2022 3:32 PM",NAK_BO_RANE,2876.14,ASSIGNED,,,TEHRAN_R,TEHRAN_P,3,"Sep 7, 2022 2:28 AM",INITIAL DIAGNOSIS,,,Daily_Weekly
13150614,NF_24052022000084890,MAJOR,NSN,R343N | KM2U1736,HS-DSCH_CREDIT_REDUCTIONS_DUE_TO_FRAME_LOSS(WBTS),117272,"IsGreaterThan 40000    ",NODEB,21-May-2022 00:00:00,"May 24, 2022 10:19 AM",CTO_NAK_NOKIA_TRANS,2809.35,INPROGRESS,TRS HW ISSUE,,CENTRAL_R,KERMAN_P,2,"Sep 6, 2022 2:38 AM",INITIAL DIAGNOSIS,3.61,,Daily_Weekly
13150785,NF_25052022000085250,MAJOR,NOKIA,KM | KM2L0062C2,Intra-Freq_HO_Success_Ratio(Nokia_LTE_CELL),4.082,"IsLessThan 60  AND  IsGreaterThan 0 ",ENODEB,22-May-2022 00:00:00,"May 25, 2022 2:07 AM",CTO_NAK_NOKIA_OPT,2461.8,CLOSED,OTHER,,CENTRAL_R,KERMAN_P,2,"Aug 26, 2022 2:12 AM",Confirmed,10.16,610.87,Daily_Weekly
13150955,NF_26052022000085589,EMERGENCY,NOKIA,B5731N,TCH_Cong_Rate(Nokia_BSC),11.676,"IsGreaterThanOrEqual 10    ","BSC ",25-May-2022 22:00:00,"May 26, 2022 12:52 AM",NAK_BO_RANN,2770.8,ASSIGNED,,,SOUTH_R,FARS_P,6,"Sep 1, 2022 2:19 AM",INITIAL DIAGNOSIS,,,Daily_Weekly
13159435,NF_29052022000099934,MAJOR,VAS,TOTAL,USSD_Success_rate(total)(HS),90.81,"IsLessThan 97    ",USSD,28-May-2022 23:00:00,"May 29, 2022 3:03 AM",BO_SMS/RBT,2696.62,ASSIGNED,,,TEHRAN_R,TEHRAN_P,17,"Sep 13, 2022 1:05 AM",INITIAL DIAGNOSIS,,,Daily_Weekly
13166111,NF_30052022000010038,MAJOR,NOKIA,KH | KH3L0142D1,Intra-Freq_HO_Success_Ratio(Nokia_LTE_CELL),18.75,"IsLessThan 60  AND  IsGreaterThan 0 ",ENODEB,27-May-2022 00:00:00,"May 30, 2022 2:04 AM",CTO_NAK_NOKIA_OPT,2224.09,CLOSED,OTHER,,NORTHEAST_R,KHORASNRAZAVI_P,2,"Aug 26, 2022 2:11 AM",Confirmed,0.93,549,Daily_Weekly
13167680,NF_30052022000012325,EMERGENCY,NOKIA,B5810N,SDCCH_Congestion_Rate(Nokia_BSC),11.333,"IsGreaterThanOrEqual 10    ","BSC ",30-May-2022 08:00:00,"May 30, 2022 10:01 AM",NAK_BO_RANN,2665.65,ASSIGNED,,,WEST_R,HAMEDAN_P,4,"Sep 3, 2022 11:50 AM",INITIAL DIAGNOSIS,,,Daily_Weekly
13250093,NF_13062022000038214,MAJOR,HUAWEI,"MSHNA | LABEL=LAC5851, GCI=4321116DB",2G_LUSR_ATT_Huawei,80.56,"IsLessThan 93  AND  IsGreaterThanOrEqual 75 ",MSS,13-Jun-2022 07:00:00,"Jun 13, 2022 11:04 AM",CTO_FARAFAN_LAC,1730.22,CLOSED,OTHERS-UNKNOWN ISSUE,,WEST_R,HAMEDAN_P,7,"Aug 20, 2022 12:26 AM",Confirmed,0.04,434.18,Daily_Weekly
